"_id.Fisher ID",_id.reportDate,reportName,reportDate,group,category,Fisher ID,Shoot Start,Shoot Start Location,Shoot Finish,Shoot Finish Location,Shot Depth (m),Haul Start,Haul End,Comments (Catch),Main Species Index,Main Species,Main Catch Weight (kg),Record Bycatch (Y/N),Fishing Gear,Bait Used,No Hooks,Line Length (m),Mitigation Study,Mitigation type,Fisher Sampling (Y/N),Comments,Bycatch Index,Bycatch Species,Individual / Group,Sex,Alive Count,Dead Count,Retained Count,Total Alive Weight (kg),Total Dead Weight (kg),Total Retained Weight (Kg),Photo (First),Sampled Species Index,Sampled Species,Number of Individuals,Length Category,Sex (Sampled Species),Comments (Sampled Species),AST Correlation ID,APP Correlation ID,Uploaded Date
astadmin,2021-07-16T00:00:00.000Z,astadmin,2021-07-16T00:00:00.000Z,2.0,,astadmin,2021-02-26T00:00:00.000Z,NA,1899-12-30T00:00:00.000Z,NA,0,,,NA,0,Sardine,0,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,5e9aae1b-2ceb-4ccd-9696-378a8c6cdae8,342813E1A0824B7E90AEAA14E519170F,2021-07-16T13:26:21.621Z
FM000008,2021-09-28T00:00:00.000Z,FM000008,2021-09-28T00:00:00.000Z,2.0,,FM000008,2021-09-28T20:30:00.000Z,"5004.94,527.87",1899-12-30T00:00:00.000Z,NA,30,,,NA,0,Sardine,6500,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,a1eb86b1-aaab-47de-bdd7-1f35c310e42b,8C47AAA66A594F37BD27493735F71C92,2021-09-28T20:23:24.959Z
FM000009,2021-01-22T00:00:00.000Z,FM000009,2021-01-22T00:00:00.000Z,2.0,,FM000009,2021-01-22T00:00:00.000Z,NA,1899-12-30T00:00:00.000Z,NA,5,,,"15,000kg Pilchards 
Water temp 8’c",0,Sardine,15000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,1e8bac79-6980-45a6-9b0a-c120d725b9bc,62716D1EC05CEB1188BD1FC8ABDEB076,2021-01-22T14:46:31.700Z
FM000008,2021-09-01T00:00:00.000Z,FM000008,2021-09-01T00:00:00.000Z,2.0,,FM000008,2021-09-01T20:30:00.000Z,"5004.56,523.46",1899-12-30T00:00:00.000Z,NA,25,,,NA,0,Sardine,9000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,b26aef24-dda1-4233-9808-cdcade01e3e3,90DB570E97554EBF86FA861A450483E1,2021-09-01T21:29:02.584Z
FM000008,2021-09-01T00:00:00.000Z,FM000008,2021-09-01T00:00:00.000Z,2.0,,FM000008,2021-08-31T23:00:00.000Z,"5002.39,523.32",1899-12-30T00:00:00.000Z,NA,35,,,NA,0,Sardine,3500,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,02d4710d-3115-462e-9bc4-8ce77a4474f6,B65C6575F29C402AA071B98A7EB76D7F,2021-09-01T00:24:00.954Z
FM000008,2021-07-31T00:00:00.000Z,FM000008,2021-07-31T00:00:00.000Z,2.0,,FM000008,2021-07-31T23:00:00.000Z,"5005.3,527.64",1899-12-30T00:00:00.000Z,NA,30,,,NA,0,Sardine,5000,Y,,,,,,,N,NA,0,john Dory,Individual,,2,0,0,NA,NA,NA,NA,NA,NA,,,NA,NA,2c6ae055-0010-464d-bbf6-63107a28a44a,33B2B8FBE8E048DFB2C576962A247193,2021-07-31T23:12:16.734Z
FM000009,2021-01-24T00:00:00.000Z,FM000009,2021-01-24T00:00:00.000Z,2.0,,FM000009,2021-01-24T10:00:00.000Z,NA,2021-01-24T12:17:41.956Z,NA,10,,,NA,0,Sardine,7000,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,3ca70eb4-165c-4b7c-acb2-55f38478907f,0A69B8093E5EEB1188C033ADDC069906,2021-01-24T12:19:06.334Z
FM000008,2021-08-02T00:00:00.000Z,FM000008,2021-08-02T00:00:00.000Z,2.0,,FM000008,2021-08-01T22:00:00.000Z,"5005.54,528.29",1899-12-30T00:00:00.000Z,NA,30,,,NA,0,Sardine,1500,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,e999674d-14e9-40d8-bc8f-f277a8e04a93,245A22754AAF4F779A9B34617F89B0FE,2021-08-02T00:08:15.847Z
FM000008,2021-08-02T00:00:00.000Z,FM000008,2021-08-02T00:00:00.000Z,2.0,,FM000008,2021-08-02T00:00:00.000Z,"5005,527.12",1899-12-30T00:00:00.000Z,NA,30,,,NA,0,Sardine,500,Y,,,,,,,N,NA,0,john dory,Individual,,1,0,0,NA,NA,NA,NA,NA,NA,,,NA,NA,23621642-edb6-4dfc-b2b0-8b9eb72ead88,2D8F4A5005DD41BB8A832AA35EC247EE,2021-08-02T00:08:16.527Z
FM000008,2021-08-02T00:00:00.000Z,FM000008,2021-08-02T00:00:00.000Z,2.0,,FM000008,2021-08-01T11:15:00.000Z,"5005.56,527.14",1899-12-30T00:00:00.000Z,NA,25,,,NA,0,Sardine,3500,N,,,,,,,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,7be9ae20-9ffc-4acf-a0ee-7ad09da54b68,C7D067FF655B4CA094239910462A0983,2021-08-02T00:08:16.201Z
FM000008,2021-12-05T00:00:00.000Z,FM000008,2021-12-05T00:00:00.000Z,2.0,,FM000008,2021-12-05T16:30:00.000Z,"5006.58,531.21",1899-12-30T00:00:00.000Z,NA,17,,,NA,0,Sardine,10000,Y,,,,,,,N,NA,0,anchovie,Group,,0,0,200,NA,NA,NA,NA,NA,NA,,,NA,NA,c59a407e-fe01-47dc-a59b-923e9974d48c,91B853589FCC4439B49E2CD99F417C5F,2021-12-05T18:05:03.223Z
