"TL","month","year","source","fishingseason","Freq","wtMean"
23.5,"Sep",2018,"processor","2018-2019",1,18.3713559322034
24,"Sep",2018,"processor","2018-2019",1,18.3713559322034
26.5,"Sep",2018,"processor","2018-2019",1,18.3713559322034
13,"Oct",2018,"processor","2018-2019",1,18.120320855615
14.5,"Oct",2018,"processor","2018-2019",4,18.120320855615
15,"Oct",2018,"processor","2018-2019",20,18.120320855615
15.5,"Oct",2018,"processor","2018-2019",50,18.120320855615
16,"Oct",2018,"processor","2018-2019",257,18.120320855615
16.5,"Oct",2018,"processor","2018-2019",247,18.120320855615
17,"Oct",2018,"processor","2018-2019",471,18.120320855615
17.5,"Oct",2018,"processor","2018-2019",487,18.120320855615
18,"Oct",2018,"processor","2018-2019",763,18.120320855615
18.5,"Oct",2018,"processor","2018-2019",472,18.120320855615
19,"Oct",2018,"processor","2018-2019",425,18.120320855615
19.5,"Oct",2018,"processor","2018-2019",195,18.120320855615
20,"Oct",2018,"processor","2018-2019",284,18.120320855615
20.5,"Oct",2018,"processor","2018-2019",100,18.120320855615
21,"Oct",2018,"processor","2018-2019",103,18.120320855615
21.5,"Oct",2018,"processor","2018-2019",12,18.120320855615
22,"Oct",2018,"processor","2018-2019",23,18.120320855615
22.5,"Oct",2018,"processor","2018-2019",8,18.120320855615
23,"Oct",2018,"processor","2018-2019",5,18.120320855615
10,"Nov",2018,"processor","2018-2019",1,18.9664442700157
12,"Nov",2018,"processor","2018-2019",1,18.9664442700157
13.5,"Nov",2018,"processor","2018-2019",1,18.9664442700157
14,"Nov",2018,"processor","2018-2019",1,18.9664442700157
15,"Nov",2018,"processor","2018-2019",27,18.9664442700157
15.5,"Nov",2018,"processor","2018-2019",23,18.9664442700157
16,"Nov",2018,"processor","2018-2019",68,18.9664442700157
16.5,"Nov",2018,"processor","2018-2019",81,18.9664442700157
17,"Nov",2018,"processor","2018-2019",170,18.9664442700157
17.5,"Nov",2018,"processor","2018-2019",173,18.9664442700157
18,"Nov",2018,"processor","2018-2019",358,18.9664442700157
18.5,"Nov",2018,"processor","2018-2019",182,18.9664442700157
19,"Nov",2018,"processor","2018-2019",391,18.9664442700157
19.5,"Nov",2018,"processor","2018-2019",190,18.9664442700157
20,"Nov",2018,"processor","2018-2019",352,18.9664442700157
20.5,"Nov",2018,"processor","2018-2019",158,18.9664442700157
21,"Nov",2018,"processor","2018-2019",207,18.9664442700157
21.5,"Nov",2018,"processor","2018-2019",65,18.9664442700157
22,"Nov",2018,"processor","2018-2019",67,18.9664442700157
22.5,"Nov",2018,"processor","2018-2019",14,18.9664442700157
23,"Nov",2018,"processor","2018-2019",15,18.9664442700157
23.5,"Nov",2018,"processor","2018-2019",2,18.9664442700157
24,"Nov",2018,"processor","2018-2019",1,18.9664442700157
14,"Dec",2018,"processor","2018-2019",5,19.3380341880342
14.5,"Dec",2018,"processor","2018-2019",3,19.3380341880342
15,"Dec",2018,"processor","2018-2019",12,19.3380341880342
15.5,"Dec",2018,"processor","2018-2019",14,19.3380341880342
16,"Dec",2018,"processor","2018-2019",18,19.3380341880342
16.5,"Dec",2018,"processor","2018-2019",8,19.3380341880342
17,"Dec",2018,"processor","2018-2019",41,19.3380341880342
17.5,"Dec",2018,"processor","2018-2019",32,19.3380341880342
18,"Dec",2018,"processor","2018-2019",120,19.3380341880342
18.5,"Dec",2018,"processor","2018-2019",81,19.3380341880342
19,"Dec",2018,"processor","2018-2019",226,19.3380341880342
19.5,"Dec",2018,"processor","2018-2019",118,19.3380341880342
20,"Dec",2018,"processor","2018-2019",208,19.3380341880342
20.5,"Dec",2018,"processor","2018-2019",48,19.3380341880342
21,"Dec",2018,"processor","2018-2019",161,19.3380341880342
21.5,"Dec",2018,"processor","2018-2019",13,19.3380341880342
22,"Dec",2018,"processor","2018-2019",50,19.3380341880342
22.5,"Dec",2018,"processor","2018-2019",1,19.3380341880342
23,"Dec",2018,"processor","2018-2019",7,19.3380341880342
23.5,"Dec",2018,"processor","2018-2019",1,19.3380341880342
24,"Dec",2018,"processor","2018-2019",2,19.3380341880342
25,"Dec",2018,"processor","2018-2019",1,19.3380341880342
16,"Jan",2019,"processor","2018-2019",1,19.5125
17,"Jan",2019,"processor","2018-2019",5,19.5125
17.5,"Jan",2019,"processor","2018-2019",5,19.5125
18,"Jan",2019,"processor","2018-2019",12,19.5125
18.5,"Jan",2019,"processor","2018-2019",7,19.5125
19,"Jan",2019,"processor","2018-2019",25,19.5125
19.5,"Jan",2019,"processor","2018-2019",5,19.5125
20,"Jan",2019,"processor","2018-2019",27,19.5125
20.5,"Jan",2019,"processor","2018-2019",8,19.5125
21,"Jan",2019,"processor","2018-2019",17,19.5125
21.5,"Jan",2019,"processor","2018-2019",4,19.5125
22,"Jan",2019,"processor","2018-2019",4,19.5125
16.5,"Jul",2019,"fisher","2019-2020",2,20.0053598774885
17,"Jul",2019,"fisher","2019-2020",7,20.0053598774885
17.5,"Jul",2019,"fisher","2019-2020",12,20.0053598774885
18,"Jul",2019,"fisher","2019-2020",34,20.0053598774885
18.5,"Jul",2019,"fisher","2019-2020",46,20.0053598774885
19,"Jul",2019,"fisher","2019-2020",75,20.0053598774885
19.5,"Jul",2019,"fisher","2019-2020",105,20.0053598774885
20,"Jul",2019,"fisher","2019-2020",94,20.0053598774885
20.5,"Jul",2019,"fisher","2019-2020",100,20.0053598774885
21,"Jul",2019,"fisher","2019-2020",67,20.0053598774885
21.5,"Jul",2019,"fisher","2019-2020",57,20.0053598774885
22,"Jul",2019,"fisher","2019-2020",32,20.0053598774885
22.5,"Jul",2019,"fisher","2019-2020",15,20.0053598774885
23,"Jul",2019,"fisher","2019-2020",6,20.0053598774885
23.5,"Jul",2019,"fisher","2019-2020",0,20.0053598774885
24,"Jul",2019,"fisher","2019-2020",1,20.0053598774885
16,"Aug",2019,"fisher","2019-2020",4,20.5931558935361
16.5,"Aug",2019,"fisher","2019-2020",10,20.5931558935361
17,"Aug",2019,"fisher","2019-2020",25,20.5931558935361
17.5,"Aug",2019,"fisher","2019-2020",42,20.5931558935361
18,"Aug",2019,"fisher","2019-2020",62,20.5931558935361
18.5,"Aug",2019,"fisher","2019-2020",72,20.5931558935361
19,"Aug",2019,"fisher","2019-2020",120,20.5931558935361
19.5,"Aug",2019,"fisher","2019-2020",149,20.5931558935361
20,"Aug",2019,"fisher","2019-2020",247,20.5931558935361
20.5,"Aug",2019,"fisher","2019-2020",334,20.5931558935361
21,"Aug",2019,"fisher","2019-2020",373,20.5931558935361
21.5,"Aug",2019,"fisher","2019-2020",269,20.5931558935361
22,"Aug",2019,"fisher","2019-2020",193,20.5931558935361
22.5,"Aug",2019,"fisher","2019-2020",128,20.5931558935361
23,"Aug",2019,"fisher","2019-2020",43,20.5931558935361
23.5,"Aug",2019,"fisher","2019-2020",18,20.5931558935361
24,"Aug",2019,"fisher","2019-2020",12,20.5931558935361
24.5,"Aug",2019,"fisher","2019-2020",0,20.5931558935361
25,"Aug",2019,"fisher","2019-2020",1,20.5931558935361
25.5,"Aug",2019,"fisher","2019-2020",2,20.5931558935361
11,"Sep",2019,"fisher","2019-2020",18,19.9115625
11.5,"Sep",2019,"fisher","2019-2020",12,19.9115625
12,"Sep",2019,"fisher","2019-2020",17,19.9115625
12.5,"Sep",2019,"fisher","2019-2020",21,19.9115625
13,"Sep",2019,"fisher","2019-2020",14,19.9115625
13.5,"Sep",2019,"fisher","2019-2020",10,19.9115625
14,"Sep",2019,"fisher","2019-2020",0,19.9115625
14.5,"Sep",2019,"fisher","2019-2020",0,19.9115625
15,"Sep",2019,"fisher","2019-2020",0,19.9115625
15.5,"Sep",2019,"fisher","2019-2020",0,19.9115625
16,"Sep",2019,"fisher","2019-2020",6,19.9115625
16.5,"Sep",2019,"fisher","2019-2020",16,19.9115625
17,"Sep",2019,"fisher","2019-2020",33,19.9115625
17.5,"Sep",2019,"fisher","2019-2020",34,19.9115625
18,"Sep",2019,"fisher","2019-2020",76,19.9115625
18.5,"Sep",2019,"fisher","2019-2020",88,19.9115625
19,"Sep",2019,"fisher","2019-2020",102,19.9115625
19.5,"Sep",2019,"fisher","2019-2020",111,19.9115625
20,"Sep",2019,"fisher","2019-2020",164,19.9115625
20.5,"Sep",2019,"fisher","2019-2020",175,19.9115625
21,"Sep",2019,"fisher","2019-2020",235,19.9115625
21.5,"Sep",2019,"fisher","2019-2020",185,19.9115625
22,"Sep",2019,"fisher","2019-2020",152,19.9115625
22.5,"Sep",2019,"fisher","2019-2020",67,19.9115625
23,"Sep",2019,"fisher","2019-2020",37,19.9115625
23.5,"Sep",2019,"fisher","2019-2020",15,19.9115625
24,"Sep",2019,"fisher","2019-2020",9,19.9115625
24.5,"Sep",2019,"fisher","2019-2020",3,19.9115625
16,"Oct",2019,"fisher","2019-2020",2,20.234219269103
16.5,"Oct",2019,"fisher","2019-2020",14,20.234219269103
17,"Oct",2019,"fisher","2019-2020",39,20.234219269103
17.5,"Oct",2019,"fisher","2019-2020",21,20.234219269103
18,"Oct",2019,"fisher","2019-2020",31,20.234219269103
18.5,"Oct",2019,"fisher","2019-2020",29,20.234219269103
19,"Oct",2019,"fisher","2019-2020",37,20.234219269103
19.5,"Oct",2019,"fisher","2019-2020",37,20.234219269103
20,"Oct",2019,"fisher","2019-2020",50,20.234219269103
20.5,"Oct",2019,"fisher","2019-2020",48,20.234219269103
21,"Oct",2019,"fisher","2019-2020",109,20.234219269103
21.5,"Oct",2019,"fisher","2019-2020",55,20.234219269103
22,"Oct",2019,"fisher","2019-2020",70,20.234219269103
22.5,"Oct",2019,"fisher","2019-2020",33,20.234219269103
23,"Oct",2019,"fisher","2019-2020",17,20.234219269103
23.5,"Oct",2019,"fisher","2019-2020",5,20.234219269103
24,"Oct",2019,"fisher","2019-2020",1,20.234219269103
24.5,"Oct",2019,"fisher","2019-2020",4,20.234219269103
16,"Nov",2019,"fisher","2019-2020",4,18.9930167597765
16.5,"Nov",2019,"fisher","2019-2020",9,18.9930167597765
17,"Nov",2019,"fisher","2019-2020",28,18.9930167597765
17.5,"Nov",2019,"fisher","2019-2020",38,18.9930167597765
18,"Nov",2019,"fisher","2019-2020",45,18.9930167597765
18.5,"Nov",2019,"fisher","2019-2020",49,18.9930167597765
19,"Nov",2019,"fisher","2019-2020",43,18.9930167597765
19.5,"Nov",2019,"fisher","2019-2020",33,18.9930167597765
20,"Nov",2019,"fisher","2019-2020",37,18.9930167597765
20.5,"Nov",2019,"fisher","2019-2020",25,18.9930167597765
21,"Nov",2019,"fisher","2019-2020",24,18.9930167597765
21.5,"Nov",2019,"fisher","2019-2020",5,18.9930167597765
22,"Nov",2019,"fisher","2019-2020",6,18.9930167597765
22.5,"Nov",2019,"fisher","2019-2020",6,18.9930167597765
23,"Nov",2019,"fisher","2019-2020",6,18.9930167597765
